t;beat
0.000;1
0.510;2
1.030;3
1.510;4
2.030;1
2.520;2
3.020;3
3.520;4
4.010;1
4.480;2
4.980;3
5.490;4
5.980;1
6.470;2
6.960;3
7.460;4
7.960;1
8.440;2
8.930;3
9.420;4
9.910;1
10.390;2
10.860;3
11.320;4
11.820;1
12.310;2
12.830;3
13.310;4
13.840;1
14.310;2
14.820;3
15.320;4
15.810;1
16.290;2
16.750;3
17.220;4
17.710;1
18.220;2
18.730;3
19.230;4
19.790;1
20.280;2
20.800;3
21.290;4
21.800;1
22.290;2
22.790;3
23.290;4
23.790;1
24.280;2
24.770;3
25.280;4
25.780;1
26.280;2
26.800;3
27.290;4
27.810;1
28.280;2
28.760;3
29.280;4
29.780;1
30.260;2
30.750;3
31.280;4
31.790;1
32.280;2
32.780;3
33.270;4
33.780;1
34.270;2
34.760;3
35.250;4
35.770;1
36.250;2
36.730;3
37.240;4
37.720;1
38.190;2
38.710;3
39.200;4
39.710;1
40.200;2
40.680;3
41.170;4
41.660;1
42.160;2
42.640;3
43.140;4
43.640;1
44.140;2
44.650;3
45.120;4
45.630;1
46.130;2
46.610;3
47.080;4
47.590;1
48.080;2
48.570;3
49.050;4
49.540;1
50.010;2
50.500;3
50.970;4
51.460;1
51.930;2
52.420;3
52.890;4
53.360;1
53.820;2
54.310;3
54.770;4
55.260;1
55.750;2
56.210;3
56.680;4
57.180;1
57.650;2
58.120;3
58.590;4
59.080;1
59.530;2
60.020;3
60.480;4
60.990;1
61.500;2
61.990;3
62.470;4
62.980;1
63.470;2
63.980;3
64.470;4
64.960;1
65.460;2
65.950;3
66.430;4
66.940;1
67.430;2
67.910;3
68.390;4
68.910;1
69.400;2
69.900;3
70.380;4
70.900;1
71.390;2
71.880;3
72.360;4
72.910;1
73.420;2
73.960;3
74.570;4
75.560;1
76.260;2
76.960;3
77.660;4
