t;beat
0.020;1
0.300;1
0.570;2
0.870;1
1.140;1
1.410;2
1.690;1
1.980;1
2.260;2
2.520;1
2.790;1
3.060;2
3.370;1
3.650;1
3.920;2
4.220;1
4.510;1
4.780;2
5.060;1
5.340;1
5.600;2
5.900;1
6.190;1
6.470;2
6.760;1
7.050;1
7.310;2
7.600;1
7.870;1
8.150;2
8.440;1
8.720;1
8.970;2
9.260;1
9.530;1
9.800;2
10.090;1
10.360;1
10.610;2
10.880;1
11.160;1
11.440;2
11.720;1
11.980;1
12.260;2
12.550;1
12.820;1
13.080;2
13.350;1
13.600;1
13.910;2
14.230;1
14.510;1
14.780;2
15.090;1
15.410;1
15.660;2
15.930;1
16.240;1
16.510;2
16.810;1
17.050;1
17.350;2
17.640;1
17.930;1
18.200;2
18.480;1
18.770;1
19.050;2
19.330;1
19.600;1
19.860;2
20.150;1
20.430;1
20.700;2
21.000;1
21.280;1
21.560;2
21.840;1
22.130;1
22.400;2
22.670;1
22.970;1
23.230;2
23.520;1
23.820;1
24.070;2
24.310;1
24.580;1
24.850;2
25.100;1
25.390;1
25.660;2
25.900;1
26.170;1
26.430;2
26.690;1
26.970;1
27.240;2
27.530;1
27.830;1
28.110;2
28.400;1
28.700;1
28.980;2
29.260;1
29.550;1
29.870;2
30.170;1
30.490;1
30.870;2
31.200;1
31.560;1
31.840;2
32.130;1
32.410;1
32.700;2
33.000;1
33.290;1
33.550;2
33.820;1
34.120;1
34.410;2
34.690;1
35.000;1
35.260;2
35.550;1
35.820;1
36.090;2
36.400;1
36.680;1
36.960;2
37.250;1
37.520;1
37.800;2
38.080;1
38.380;1
38.660;2
38.950;1
39.240;1
39.500;2
39.790;1
40.080;1
40.390;2
40.740;1
41.050;1
41.350;2
41.690;1
42.110;1
42.410;2
42.740;1
43.090;1
43.640;2
44.540;1
45.400;1
46.280;2
