t;beat
0.080;4
0.990;1
1.900;2
2.810;3
3.720;4
4.640;1
5.550;2
6.460;3
7.370;4
8.290;1
9.190;2
10.100;3
11.010;4
11.920;1
12.820;2
13.720;3
14.620;4
15.530;1
16.440;2
17.350;3
18.260;4
19.170;1
20.080;2
20.990;3
21.900;4
22.820;1
23.730;2
24.640;3
25.550;4
26.460;1
27.370;2
28.280;3
29.190;4
30.100;1
31.010;2
31.920;3
32.830;4
33.740;1
34.650;2
35.560;3
36.470;4
37.390;1
38.290;2
39.190;3
40.090;4
41.000;1
41.900;2
42.810;3
43.710;4
44.620;1
45.530;2
46.440;3
47.350;4
48.260;1
49.170;2
50.080;3
50.990;4
51.910;1
52.810;2
53.720;3
54.630;4
55.540;1
56.450;2
57.370;3
58.280;4
59.200;1
60.100;2
61.010;3
61.910;4
62.820;1
63.730;2
64.650;3
65.560;4
66.480;1
67.370;2
68.270;3
69.160;4
70.060;1
70.970;2
71.890;3
72.810;4
73.730;1
74.640;2
75.550;3
76.460;4
77.370;1
78.270;2
79.180;3
80.090;4
81.000;1
81.900;2
82.810;3
83.720;4
84.630;1
85.540;2
86.460;3
87.370;4
88.290;1
89.190;2
90.100;3
91.010;4
91.920;1
92.820;2
93.730;3
94.630;4
95.540;1
96.450;2
97.360;3
98.270;4
99.190;1
100.090;2
100.990;3
101.890;4
102.790;1
103.690;2
104.600;3
105.510;4
106.420;1
107.330;2
108.250;3
109.170;4
110.090;1
110.990;2
111.900;3
112.810;4
113.720;1
114.630;2
115.540;3
116.450;4
117.360;1
118.270;2
119.180;3
120.090;4
121.010;1
121.920;2
122.830;3
123.730;4
124.650;1
125.550;2
126.460;3
127.360;4
128.270;1
129.180;2
130.100;3
131.010;4
131.930;1
132.830;2
133.740;3
134.640;4
135.550;1
136.450;2
137.360;3
138.270;4
139.180;1
140.090;2
141.000;3
141.910;4
142.830;1
143.730;2
144.630;3
145.530;4
146.440;1
147.350;2
148.270;3
149.180;4
150.100;1
151.000;2
151.910;3
152.820;4
153.730;1
154.630;2
155.540;3
156.440;4
157.350;1
158.260;2
159.170;3
160.080;4
161.000;1
161.900;2
162.810;3
163.710;4
164.620;1
165.530;2
166.450;3
167.370;4
168.290;1
169.180;2
170.080;3
170.980;4
171.880;1
172.790;2
173.710;3
174.620;4
175.540;1
176.450;2
177.360;3
178.270;4
179.190;1
180.100;2
181.010;3
181.920;4
182.830;1
183.730;2
184.630;3
185.530;4
186.440;1
187.350;2
188.270;3
189.190;4
190.110;1
191.010;2
191.910;3
192.810;4
193.720;1
194.620;2
195.530;3
196.440;4
197.350;1
198.270;2
199.190;3
200.110;4
201.030;1
201.900;2
202.810;3
203.710;4
204.600;1
205.520;2
206.440;3
207.360;4
208.280;1
209.180;2
210.080;3
210.980;4
211.890;1
212.820;2
213.690;3
214.630;4
215.480;1
216.460;2
217.360;3
218.270;4
219.180;1
220.090;2
221.000;3
221.910;4
222.820;1
223.720;2
224.620;3
225.520;4
226.430;1
227.360;2
228.260;3
229.180;4
230.090;1
230.970;2
231.870;3
232.770;4
233.670;1
234.580;2
235.520;1
236.420;2
237.320;3
238.210;4
239.160;1
240.070;2
240.920;3
241.810;4
242.750;1
243.690;2
244.630;3
245.570;4
246.510;1
247.450;2
248.390;3
249.330;4
