t;beat
0.020;2
0.390;3
0.750;1
1.120;2
1.490;3
1.860;1
2.230;2
2.590;3
2.960;1
3.330;2
3.700;3
4.070;1
4.430;2
4.800;3
5.170;1
5.540;2
5.910;3
6.270;1
6.640;2
7.010;3
7.380;1
7.750;2
8.110;3
8.480;1
8.850;2
9.220;3
9.590;1
9.950;2
10.320;3
10.690;1
11.060;2
11.430;3
11.800;1
12.160;2
12.530;3
12.900;4
13.270;1
13.640;2
14.000;3
14.370;4
14.740;1
15.110;2
15.480;3
15.850;4
16.210;1
16.580;2
16.950;3
17.320;4
17.690;1
18.050;2
18.420;3
18.790;4
19.160;1
19.530;2
19.890;3
20.260;4
20.630;1
21.000;2
21.370;3
21.730;4
22.100;1
22.470;2
22.840;1
23.210;2
23.570;3
23.940;4
24.310;1
24.680;2
25.050;3
25.410;4
25.780;1
26.150;2
26.520;3
26.890;4
27.260;1
27.620;2
27.990;3
28.360;4
28.730;1
29.100;2
29.460;3
29.830;4
30.200;1
30.570;2
30.940;3
31.300;4
31.670;1
32.040;2
32.410;3
32.780;4
33.140;1
33.510;2
33.880;3
34.250;4
34.620;1
34.980;2
35.350;3
35.720;4
36.090;1
36.460;2
36.820;3
37.190;4
37.560;1
37.930;2
38.300;3
38.660;4
39.030;1
39.400;2
39.770;3
40.140;4
40.510;1
40.870;2
41.240;3
41.610;4
41.980;1
42.350;2
42.710;3
43.080;4
43.450;1
43.820;2
44.190;3
44.550;4
44.920;1
45.290;2
45.660;3
46.030;4
46.400;1
46.760;2
47.130;3
47.500;4
47.870;1
48.240;2
48.600;3
48.970;4
49.340;1
49.710;2
50.080;3
50.440;4
50.810;1
51.180;2
51.550;3
51.920;4
52.280;1
52.650;2
53.020;3
53.390;4
53.760;1
54.130;2
54.490;3
54.860;4
55.230;1
55.600;2
55.960;3
56.330;4
56.700;1
57.070;2
57.440;3
57.810;4
58.170;1
58.540;2
58.910;3
59.280;4
59.650;1
60.010;2
60.380;3
60.750;4
61.120;1
61.490;2
61.850;3
62.220;4
62.590;1
62.960;2
63.330;3
63.700;4
64.060;1
64.430;2
64.800;3
65.170;4
65.530;1
65.900;2
66.270;3
66.640;4
67.010;1
67.380;2
67.740;3
68.110;4
68.480;1
68.850;2
69.220;3
69.580;4
69.950;1
70.320;2
70.690;3
71.060;1
71.420;2
71.790;3
72.160;1
72.530;2
72.900;3
73.260;1
73.630;2
74.000;3
74.370;1
74.740;2
75.110;3
75.470;1
75.840;2
76.210;3
76.580;1
76.950;2
77.310;3
77.680;1
78.050;2
78.420;3
78.790;1
79.150;2
79.520;3
79.890;4
80.260;1
80.630;2
80.990;3
81.360;4
81.730;1
82.100;2
82.470;3
82.840;4
83.200;1
83.570;2
83.940;3
84.310;4
84.680;1
85.050;2
85.410;3
85.780;4
86.150;1
86.520;2
86.880;3
87.250;4
87.620;1
87.990;2
88.360;3
88.720;4
89.090;1
89.460;2
89.830;1
90.200;2
90.570;3
90.930;4
91.300;1
91.670;2
92.040;3
92.410;4
92.770;1
93.140;2
93.510;3
93.880;4
94.250;1
94.610;2
94.980;3
95.350;4
95.720;1
96.090;2
96.450;3
96.820;4
97.190;1
97.560;2
97.930;3
98.290;4
98.660;1
99.030;2
99.400;3
99.770;4
100.140;1
100.500;2
100.870;3
101.240;4
101.610;1
101.980;2
102.340;3
102.710;4
103.080;1
103.450;2
103.820;3
104.180;4
104.550;1
104.920;2
105.290;3
105.660;4
106.020;1
106.390;2
106.760;3
107.130;4
107.500;1
107.860;2
108.230;3
108.600;4
108.970;1
109.340;2
109.700;3
110.070;4
110.440;1
110.810;2
111.180;3
111.550;4
111.910;1
112.280;2
112.650;3
113.020;4
113.390;1
113.750;2
114.120;3
114.490;4
114.860;1
115.230;2
115.590;3
115.960;4
116.330;1
116.700;2
117.070;3
117.430;4
117.800;1
118.170;2
118.540;3
118.910;4
119.280;1
119.640;2
120.010;3
120.380;4
120.750;1
121.110;2
121.480;3
121.850;4
122.220;1
122.590;2
122.960;3
123.320;4
123.690;1
124.060;2
124.430;3
124.800;4
125.160;1
125.530;2
125.900;3
126.270;4
126.640;1
127.000;2
127.370;3
127.740;4
128.110;1
128.480;2
128.850;3
129.210;4
129.580;1
129.950;2
130.320;3
130.690;4
131.050;1
131.420;2
131.790;3
132.160;4
132.520;1
132.890;2
133.260;3
133.630;4
134.000;1
134.370;2
134.730;3
135.100;4
135.470;1
135.840;2
136.210;3
136.570;4
136.940;1
137.310;2
137.680;3
138.050;4
138.410;1
138.780;2
139.150;3
139.520;4
139.890;1
140.250;2
140.620;3
140.990;4
141.360;1
141.730;2
142.100;3
142.460;4
142.830;1
143.200;2
143.570;3
143.940;4
144.300;1
144.670;2
145.040;3
145.410;4
145.780;1
146.140;2
