t;chord
0.0;N
0.093;C:min
1.69;C:min7/b7
3.404;Ab:maj7
4.955;G:sus4
5.576;G:7
6.563;C:min
8.245;C:min7/b7
9.869;Ab:maj7
11.486;G:7
12.144;Db:maj
13.2;C:min
14.919;C:min7/b7
16.509;Ab:maj7
18.1;G:sus4
18.735;G:7
19.795;C:min
21.374;C:min7/b7
23.034;Ab:maj7
23.859;G:min7
24.671;C:min
26.331;Bb:min7
27.133;Eb:maj
27.934;Ab:maj9
29.513;Bb:maj7
30.482;Eb:maj
31.08;Ab:maj9
32.67;Eb:maj/5
33.46;Bb:maj6
35.085;Ab:maj7
35.886;D:hdim7
37.469;G:sus4
38.922;Db:maj(#11)
40.841;C:min
41.755;C:min7
42.482;F:maj/5
43.118;F:min/5
43.371;C:min
44.09;F:min/5
45.641;D:7
46.482;G:7
47.298;C:min
50.449;Db:maj
53.557;C:maj/5
54.37;D:maj/5
55.216;C:min
56.808;C:min7/b7
58.433;Ab:maj7
60.049;G:sus4
60.696;G:7
61.731;C:min
63.286;C:min7/b7
64.939;Ab:maj7
66.531;G:sus4
67.164;Db:maj(#11)
68.212;C:maj
69.845;C:min7/b7
71.461;Ab:maj7
73.094;G:maj
74.759;C:min
76.376;C:min7/b7
78.0;Ab:maj6
78.669;G:min7
79.435;C:min
81.265;Bb:min7
82.072;Eb:maj6/3
82.906;Ab:maj
84.449;Bb:min7
85.241;Eb:maj6/3
86.139;Ab:maj
87.655;C:min
88.468;Bb:maj
89.388;Eb:maj9
90.033;C:min/5
90.833;D:hdim7
92.415;G:maj
93.927;Db:maj(#11)
95.817;C:min
99.021;Db:maj7
99.823;C:min7
100.624;D:7
101.425;G:7
102.203;C:min
105.337;Db:maj
108.437;C:min/5
109.25;G:7
110.074;C:min
113.244;Db:maj
114.021;C:min
114.751;D:7
115.612;G:7
116.402;C:min
119.543;Db:maj
122.578;C:min
122.988;G:7
124.217;C:min
125.852;C:min7/b7
127.466;Ab:maj7
129.068;Db:maj(#11)
130.705;C:min
132.934;N
