CollID;PieceNo;CDNo;TrackNo;Title;Artist;SingerInformation;SingingLanguage;Duration;Tempo;Variation;LiveInstruments;DrumInformation;Composer;CompositionStyle;Category_new;Genre;Subgenre
P;1;1;1;Eien no replica;Kazuo Nishi;Male;Japanese;03:29;135.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;2;1;2;Magic in your eyes;Hiromi Yoshii;Female;Japanese;03:42;100.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;3;1;3;HORO;MIT;Vocal group (1 male + 1 female);Japanese;03:15;111.0;;;Drum sequences;;;Vocal;Popular;J-pop
P;4;1;4;Spice of Life;Hisayoshi Kazato;Male;Japanese;04:02;86.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;5;1;5;Koino Ver.2.4;Eves;Vocal group (4 female);Japanese;03:48;135.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;6;1;6;Funky Life;Oriken;Male;Japanese;03:26;120.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;7;1;7;PROLOGUE;Tomomi Ogata;Female;Japanese;04:58;122.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;8;1;8;Jinsei konnamono;fevers;Vocal group (2 female);Japanese;03:12;127.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;9;1;9;Doukoku;Kazuo Nishi;Male;Japanese;04:37;70.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;10;1;10;Getting Over;Brakes;Vocal group (3 female);Japanese;03:35;125.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;11;1;11;Ienai;Hisayoshi Kazato;Male;Japanese;04:27;90.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;12;1;12;KAGE-ROU;Kazuo Nishi;Male;Japanese;03:24;120.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;13;1;13;Catch ball;Konbu;Female;Japanese;03:39;103.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;14;1;14;Karehairo no Twilight;Rin;Female;Japanese;03:54;88.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;15;1;15;old fashioned;Katsuyuki Ozawa;Male;Japanese;02:42;132.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;16;1;16;Game of Love;Hiromi Yoshii;Female;Japanese;04:22;122.0;;Gt, Bs;Drum loops;;;Vocal;Popular;J-pop
P;17;2;1;Anata to aete;Hiromi Yoshii;Female;Japanese;04:01;97.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;18;2;2;True Heart;Tomomi Ogata;Female;Japanese;04:14;112.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;19;2;3;COOL Motion;Hisayoshi Kazato;Male;Japanese;04:49;130.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;20;2;4;Tokimeki no syunkan;Eri Ichikawa;Female;Japanese;04:10;134.0;;;Drum sequences;;;Vocal;Popular;J-pop
P;21;2;5;Feeling In My Heart;Rin;Female;Japanese;04:28;98.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;22;2;6;Koi ni ochiru jikan ni kansuru kousatsu;Kazuo Nishi;Male;Japanese;03:29;135.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;23;2;7;SHAKE;MAPS;Vocal group (2 male);Japanese;03:21;132.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;24;2;8;it's all right;Hisayoshi Kazato;Male;Japanese;04:00;130.0;;;Drum sequences;;;Vocal;Popular;J-pop
P;25;2;9;tell me;Tomomi Ogata;Female;Japanese;04:16;103.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;26;2;10;aozora sanpo michi;Tomoko Nitta;Female;Japanese;03:27;158.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;27;2;11;stay;Shingo Katsuta;Male;Japanese;05:18;124.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;28;2;12;Fly away;Tomomi Ogata;Female;Japanese;04:10;109.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;29;2;13;One Two STEP;Kazuo Nishi;Male;Japanese;03:35;103.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;30;2;14;syounen no omoi;Mitsuru Tanimoto;Male;Japanese;03:16;104.0;;;Drum sequences;;;Vocal;Popular;J-pop
P;31;2;15;Moving Round and Round;Yuuichi Nagayama;Male;Japanese;04:10;129.0;;;Drum loops;;;Vocal;Popular;J-pop
P;32;2;16;what could I do for you;Masaki Kuehara;Male;Japanese;04:12;125.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;33;3;1;DREAM MAGIC;Hiromi Yoshii;Female;Japanese;04:47;108.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;34;3;2;Hitoyo no yume;Hiromi Yoshii;Female;Japanese;03:27;93.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;35;3;3;Midarana kami no moushigo;Hiromi Yoshii;Female;Japanese;03:13;170.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;36;3;4;over and over;Kazuo Nishi;Male;Japanese;05:16;135.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;37;3;5;Replica;Yoshinori Hatae;Male;Japanese;03:59;184.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;38;3;6;1999;Kousuke Morimoto;Male;Japanese;04:35;125.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;39;3;7;SPUL;Kousuke Morimoto;Male;Japanese;04:48;73.0;;Gt, Bs, HH;Drum sequences;;;Vocal;Popular;J-pop
P;40;3;8;promise;Kazuo Nishi;Male;Japanese;03:46;122.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;41;3;9;Non Stop Driving;Katsuyuki Ozawa;Male;Japanese;02:50;200.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;42;3;10;Fly to the moon;Kousuke Morimoto;Male;Japanese;04:08;125.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;43;3;11;Centimeter no kodoku;Kazuo Nishi;Male;Japanese;03:24;163.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;44;3;12;REAL na 5 hun;Kousuke Morimoto;Male;Japanese;04:06;124.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;45;3;13;Hajimari;Kousuke Morimoto;Male;Japanese;03:42;77.0;;Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;46;3;14;Senro wa tsuzukuyo;Kousuke Morimoto;Male;Japanese;03:19;168.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;47;3;15;Deaetakara;Satoshi Kumasaka;Male;Japanese;03:30;94.0;;Gt, Gt, Bs, Dr, Org;Live drums;;;Vocal;Popular;J-pop
P;48;3;16;Syodoubutsu;Hiroshi Sekiya;Male;Japanese;04:29;86.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;49;4;1;Sekai no mikata;Hiroshi Sekiya;Male;Japanese;04:35;100.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;50;4;2;Mrs. Maril;Rin;Female;Japanese;03:15;114.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;51;4;3;Modoranai natsu;Hiroshi Sekiya;Male;Japanese;06:07;104.0;;Gt, Gt, Bs, Dr, Pf;Live drums;;;Vocal;Popular;J-pop
P;52;4;4;Haru ga kurukara;Tomomi Ogata;Female;Japanese;03:45;140.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;53;4;5;Ashita wa;Rin;Female;Japanese;03:39;132.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;54;4;6;Harukana omoi;Rin;Female;Japanese;03:42;125.0;;Gt, Bs;Drum sequences;;;Vocal;Popular;J-pop
P;55;4;7;First Love;Akiko Kaburagi;Female;Japanese;04:09;74.0;;Gt, Gt, Bs, Dr;Live drums;;;Vocal;Popular;J-pop
P;56;4;8;I've got a mail;Masashi Hashimoto;Male;Japanese;05:22;74.0;;Gt, Bs;Drum loops;;;Vocal;Popular;J-pop
P;57;4;9;Stay with me;Masashi Hashimoto;Male;Japanese;04:27;70.0;;;Drum sequences;;;Vocal;Popular;J-pop
P;58;4;10;Silver shoes;Rin;Female;Japanese;03:45;118.0;;;Drum loops;;;Vocal;Popular;J-pop
P;59;4;11;Tenshi no utatane;Rin;Female;Japanese;03:25;98.0;;Gt, Tp;Drum loops;;;Vocal;Popular;J-pop
P;60;4;12;Kumorizora;Yuzu Iijima;Female;Japanese;04:03;148.0;;Gt, Gt, Bs;Drum loops;;;Vocal;Popular;J-pop
P;61;4;13;FOR YOU;Kazuo Nishi;Male;Japanese;04:43;121.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
P;62;4;14;Be with me Now;Rin;Female;Japanese;03:11;81.0;;Gt;Drum sequences;;;Vocal;Popular;J-pop
